Release Year,Song,Artist,Album,Genre,Duration,Writer,Composer,Producer,Award
1994,Alapaap,Eraserheads,Circus Coliseum,Ballad,5:12,Gary Valenciano,Gary Valenciano,Robin Rivera,
1994,Pare Ko (Live),Eraserheads,Circus Coliseum,Rock,4:05,Ely Buendia,Ely Buendia,Robin Rivera,
1994,Di Bale Nang Mag-Iisa,Ogie Alcasid,Single,Ballad,4:48,Ogie Alcasid,Ogie Alcasid,Ogie Alcasid,
1994,Kailangan Kita,Ariel Rivera,Single,Pop Ballad,4:35,Ariel Rivera,Ariel Rivera,Vehnee Saturno,
1994,Di Na Natuto,Basil Valdez,Single,Ballad,4:50,George Canseco,George Canseco,Gary Valenciano,
1994,Minsan Lang Kita Mamahalin,Dingdong Avanzado,Single,Ballad,4:58,Dingdong Avanzado,Dingdong Avanzado,Dingdong Avanzado,
1994,Walang Kapalit,Zsa Zsa Padilla,Single,Ballad,4:55,George Canseco,George Canseco,Willy Cruz,
1994,Mahal Kita,Martin Nievera,Single,Pop,4:22,George Canseco,George Canseco,Martin Nievera,
1994,Di Ko Na Deserve,Janno Gibbs,Single,Pop,4:25,Janno Gibbs,Janno Gibbs,Janno Gibbs,
1994,Hele ng Hele,Smokey Mountain,Single,Pop,4:20,Ryan Cayabyab,Ryan Cayabyab,Ryan Cayabyab,
1994,Pangako,Sharon Cuneta,Single,Ballad,4:32,George Canseco,George Canseco,Sharon Cuneta,
1994,Di Makalimutan,Joey Albert,Single,Ballad,4:35,George Canseco,George Canseco,Joey Albert,
1994,Pag-ibig,Rico J. Puno,Single,Pop,4:05,Rico J. Puno,Rico J. Puno,Rico J. Puno,
1994,Sa Piling Mo,Pops Fernandez,Single,Pop Ballad,4:42,Pops Fernandez,Pops Fernandez,Pops Fernandez,
1994,Di Na Muli,Rachel Alejandro,Single,Ballad,4:48,Vehnee Saturno,Vehnee Saturno,Rachel Alejandro,
1994,Mahal Ko Siya,Rey Valera,Single,Ballad,4:55,Rey Valera,Rey Valera,Rey Valera,
1994,Pangarap,Bituin Escalante,Single,Pop,4:15,Bituin Escalante,Bituin Escalante,Jonathan Manalo,
1994,Walang Hanggang Pag-ibig,Francis Magalona,Single,Rap / Pop,4:12,Francis Magalona,Francis Magalona,Jimmy Antiporda,
1994,Di Bale,Hajji Alejandro,Single,Ballad,4:40,Hajji Alejandro,Hajji Alejandro,Hajji Alejandro,
1994,Sana,Lani Misalucha,Single,Pop Ballad,4:35,Lani Misalucha,Lani Misalucha,Lani Misalucha,
1994,20,Rivermaya,Rivermaya,Pop Rock,4:08,Rico Blanco,Rico Blanco,Rico Blanco,
1994,With A Smile,Eraserheads,Circus   ,Rock,4:35,Ely Buendia,Ely Buendia,Robin Rivera,
1994,Alapaap,Eraserheads,Circus,Pop Rock,4:12,Ely Buendia,Ely Buendia,Robin Rivera,
1994,Higanti,Rivermaya,Rivermaya,Rock,3:58,Rico Blanco,Nathan Azarcon,Rico Blanco,
1994,Trip,Rivermaya,Single,Pop Rock,4:20,Rico Blanco,Rico Blanco,Rico Blanco,
1994,Magasin,Eraserheads,Circus,Alt Rock,4:10,Ely Buendia,Ely Buendia,Robin Rivera,
1994,Huling El Bimbo (Early Version),Eraserheads,Cutterpillow,Alt Rock,7:27,Ely Buendia,Ely Buendia,Robin Rivera,MTV Asia Viewer's Choice Award (1997); Katha Award for Best Rock Song
1994,Sembreak,Eraserheads,Circus,Punk Rock,4:06,Ely Buendia,Ely Buendia,Robin Rivera,
1994,Bring Me Down,Rivermaya,Rivermaya,Alt Rock,4:32,Rico  Blanco,Rico Blanco,Rico Blanco,
1994,Ground Control to Major Tom,Rivermaya,Rivermaya,Alt Rock,3:56,Rico  Blanco,Rico  Blanco,Rico Blanco,
1994,Ulan,Rivermaya,Rivermaya,Alt Rock,4:36,Rico  Blanco,Rico  Blanco,Rico Blanco,
1994,Awit ng Kabataan,Rivermaya,Rivermaya,Alt Rock,4:48,Rico  Blanco,Rico  Blanco,Rico Blanco,
1994,Sana Maulit Muli (Acoustic),Gary Valenciano,Single,Pop Ballad,5:12,Gary Valenciano,Gary Valenciano,Gary Valenciano,
1994,Kailan,Eraserheads,Circus,Pop,3:15,Eraserheads & UP Tropa,Ely Buendia,Robin Rivera,
1994,Bakit Labis Kitang Mahal,Lea Salonga,Single,Pop Ballad,4:22,Alex Mallillin,Alex Mallillin,Lea Salonga,
1994,Sana Kahit Minsan,Ariel Rivera,Single,Pop Ballad,4:32,Vehnee Saturno,Vehnee Saturno,Vehnee Saturno,
1994,"Bulag, Pipi at Bingi",Freddie Aguilar,Single,Folk Pop,4:10,Snaffu Rigor,Snaffu Rigor,Freddie Aguilar,Metropop Song Festival Grand Prize (1997 - Re-peaked in '94)
1994,Forevermore,Side A,By Your Side,Pop Ballad,4:55,Joey Benin,Joey Benin,Side A,Awit Award for Song of the Year (1996)
1994,So Many Questions,Side A,By Your Side,Pop Ballad,4:38,Joey Benin,Joey Benin,Side A,
1994,I'll Never Go,Nexxus,Single,Pop Ballad,4:42,Frank Singcol,Frank Singcol,Frank Singco,
1994,Mula Sa Puso,Jude Michael,Single,Pop Ballad,4:35,Vehnee Saturno,Vehnee Saturno,Vehnee Saturno,
1994,Multong Bakla,The Youth,Albino,Punk Rock,3:58,The Youth,The Youth,The Youth,
1994,Your Love,Alamid,Alamid,Pop Rock,4:55,Alamid,Alamid,Alamid,
1994,Bakit Nga Ba Mahal Kita,Roselle Nava,Roselle,Pop Ballad,4:48,Vehnee Saturno,Vehnee Saturno,Vehnee Saturno,
1994,On The Wings Of Love,Regine Velasquez,Listen Without Prejudice,Pop Ballad,4:10,Jeffrey Osborne,Peter Beckett,Regine Velasquez,
1994,Hataw Na,Gary Valenciano,Hataw Na,Dance Pop,4:12,Gary Valenciano,Gary Valenciano,Gary Valenciano,Awit Award for Best Performance by a Male Artist
1995,Ang Huling El Bimbo,Eraserheads,Cutterpillow,Alt Rock,7:27,Ely Buendia,Ely Buendia,Robin Rivera,MTV Asia Viewer's Choice Award (1997); Katha Award for Best Rock Song
1995,Huwag Mo Nang Itanong,Eraserheads,Cutterpillow,Alt Rock,4:11,Ely Buendia,Ely Buendia,Robin Rivera,
1995,Overdrive,Eraserheads,Cutterpillow,Alt Rock,5:05,Ely Buendia,Ely Buendia,Robin Rivera,
1995,Waiting For The Bus,Eraserheads,Cutterpillow,Alt Rock,3:27,Ely Buendia,Ely Buendia,Robin Rivera,
1995,Fine Time,Eraserheads,Cutterpillow,Alt Rock,5:16,Ely Buendia,Ely Buendia,Robin Rivera,
1995,Kama Supra,Eraserheads,Cutterpillow,Alt Rock,4:38,Ely Buendia,Ely Buendia,Robin Rivera,
1995,Dapat Na Lang,Janno Gibbs,Dapat Na Lang,Pop Ballad,4:12,Janno Gibbs,Janno Gibbs,Janno Gibbs,
1995,Buloy,Parokya ni Edgar,Khangkungkernitz,Pop Rock,4:09,Chito Miranda,Chito Miranda,Chito Miranda,
1995,Maniwala Ka Sana,Parokya ni Edgar,Khangkungkernitz,Pop Rock,3:05,Chito Miranda,Chito Miranda,Chito Miranda,
1995,Lutong Bahay (Cooking Ng Ina Mo),Parokya ni Edgar,Khangkungkernitz,Novelty Pop,3:12,Parokya ni Edgar,Parokya ni Edgar,Chito Miranda,
1995,Tatlong Benter Singko,Dingdong Avanzado,Single,Pop Ballad,4:15,Dingdong Avanzado,Dingdong Avanzado,Dingdong Avanzado,
1995,Finding It Hard to Say Goodbye,Lea Salonga,Lea Salonga,Pop Ballad,4:18,Lea Salonga,Lea Salonga,Lea Salonga,
1995,Say That You Love Me,Basil Valdez,Single,Pop Ballad,4:42,Louie Ocampo,Louie Ocampo,Basil Valdez,
1995,You Are My Song,Regine Velasquez,Wanted: Perfect Father OST,Pop Ballad,3:52,Martin Nievera,Louie Ocampo,Regine Velasquez,
1995,In Your Eyes,Ariel Rivera,Simple Lang,Pop Ballad,4:35,Vehnee Saturno,Vehnee Saturno,Ariel Rivera,
1995,Habang May Buhay,AfterImage,Single,Pop Rock,4:42,Wency Cornejo,Wency Cornejo,Wency Cornejo,
1995,Next In Line,Wency Cornejo,Single,Pop Rock,3:45,Wency Cornejo,Wency Cornejo,Wency Cornejo,
1995,Tuloy Pa rin,Neocolours,Tuloy Pa Rin,Pop Rock,4:33,Ito Rapadas,Ito Rapadas,Neocolours,
1995,Sana,Amy Perez,Single,Pop Ballad,4:10,Vehnee Saturno,Vehnee Saturno,Amy Perez,
1995,Doobi Doo,APO Hiking Society,Single,Pop,3:20,Jim Paredes,Jim Paredes,APO Hiking Society,
1995,Basta't Kasama Kita,Dingdong Avanzado,Single,Pop Ballad,4:12,Dingdong Avanzado,Dingdong Avanzado,Dingdong Avanzado,
1995,Laklak,Teeth,Teeth,Grunge / Rock,3:48,Glenn Jacinto,Glenn Jacinto,Teeth,
1995,Prinsesa,Teeth,Teeth,Grunge / Rock,4:40,Glenn Jacinto,Glenn Jacinto,Teeth,
1995,Shiela,Teeth,Teeth,Grunge / Rock,4:15,Teeth,Teeth,Teeth,
1995,Burning Houses,Wolfgang,Wolfgang,Heavy Metal,4:25,Basti Artadi,Wolfgang,Wolfgang,
1995,Halik Ni Hudas,Wolfgang,Wolfgang,Heavy Metal,4:52,Basti Artadi,Wolfgang,Wolfgang,
1995,Arise,Wolfgang,Wolfgang,Heavy Metal,4:08,Basti Artadi,Wolfgang,Wolfgang,
1995,Atomica,Wolfgang,Wolfgang,Heavy Metal,4:12,Basti Artadi,Wolfgang,Wolfgang,
1995,Castles in the Air,Wolfgang,Wolfgang,Heavy Metal,5:10,Basti Artadi,Wolfgang,Wolfgang,
1995,Natutulog Ba Ang Diyos,Gary Valenciano,Single,Gospel Pop,4:22,Nonong Pedero,Nonong Pedero,Gary Valenciano,
1995,Kailangan Kita,Ogie Alcasid,Single,Pop Ballad,4:35,Ogie Alcasid,Ogie Alcasid,Ogie Alcasid,
1995,Stay,Cueshe,Single,Alt Rock,3:52,Ruben Caballero,Cueshe,Cueshe,
1995,How Did You Know,Chiqui Pineda,Single,Pop Ballad,5:25,Cecile Azarcon,Cecile Azarcon,Chiqui Pineda,
1995,"Isang Mundo, Isang Awit",Vina Morales,Single,Inspirational,3:45,Vehnee Saturno,Vehnee Saturno,Vina Morales,
1995,Rain,Donna Cruz,Habang May Buhay,Pop,3:35,Ito Rapadas,Ito Rapadas,Donna Cruz,
1995,Only Me and You,Donna Cruz,Habang May Buhay,Pop Ballad,4:10,Donna Cruz,Donna Cruz,Donna Cruz,
1995,The Journey,Lea Salonga,Lea Salonga,Inspirational,4:26,Julie Gold,Julie Gold,Lea Salonga,
1995,Fill Her,Eraserheads,Cutterpillow,Alt Rock,2:02,Eraserheads,Eraserheads,Robin Rivera,
1995,Back2me,Eraserheads,Cutterpillow,Alt Rock,2:13,Eraserheads,Eraserheads,Robin Rivera,
1995,Poorman's Grave,Eraserheads,Cutterpillow,Alt Rock,4:38,Eraserheads,Eraserheads,Robin Rivera,
1995,Yentalk,Eraserheads,Cutterpillow,Alt Rock,2:30,Eraserheads,Eraserheads,Robin Rivera,
1995,Tell The World of His Love,Jamie Rivera,World Youth Day '95 Theme,Inspirational,4:52,Trina Belamide,Trina Belamide,Jamie Rivera,
1995,Cool Ka Lang,Prettier Than Pink,Prettier That Pink,Pop,3:59,Prettier That Pink,Prettier That Pink,Prettier Than Pink,
1995,Anak ng Pasig,Geneva Cruz,In the Name of Love,Pop / Environmental,4:15,Geneva Cruz,Geneva Cruz,Geneva Cruz,
1995,Someone's Always Saying Goodbye,Allona,Allona,Pop Ballad,3:46,Vehnee Saturno,Vehnee Saturno,Allona,
1995,Superproxy,Eraserheads,Cutterpillow,Alt Rock,5:45,Ely Buendia,Ely Buendia,Robin Rivera,
1995,Gatekeeper,Eraserheads,Cutterpillow,Alt Rock,3:50,Eraserheads,Eraserheads,Robin Rivera,
1995,Ambi Dextrous,Eraserheads,Cutterpillow,Alt Rock,3:55,Eraserheads,Eraserheads,Robin Rivera,
1995,Dahil Tanging Ikaw,Jaya,Jaya,Pop Ballad,3:56,Vehnee Saturno,Vehnee Saturno,Vehnee Saturno,
1995,Maybe,Neocolours,Eto Na,Pop Ballad,4:30,Neocolours,Neocolours,Jimmy Antiporda,
1996,Pasko Na Sinta Ko,Gary Valenciano,Single,Pop Christmas,4:45,Gary Valenciano,Gary Valenciano,Gary Valenciano,
1996,Rainbow,South Border,South Border,R&B,4:32,Jay Durias,Jay Durias,Jay Durias,Awit Best R&B
1996,Kailan Pa Ba,South Border,South Border,R&B,4:28,Jay Durias,Jay Durias,South Border,Star Best Group
1996,Paubaya,Rivermaya,Atomic Bomb** (early single),Pop Rock,4:35,Rico Blanco,Rico Blanco,Rico Blanco,Awit Best Rock
1996,Eres Mi Religion,Regine Velasquez,My Love Emotion,Pop Ballad,4:50,Pablo Baker,Pablo Baker,Regine Velasquez,Awit Best Female
1996,Sana Maulit Muli,Gary Valenciano,Single,Ballad,5:12,Gary Valenciano,Gary Valenciano,Gary Valenciano,
1996,With a Smile (Live),Eraserheads,Single,Rock,4:55,Ely Buendia,Ely Buendia,Robin Rivera,
1996,Ang Huling El Bimbo (Remix),Eraserheads,Single,Rock,6:30,Ely Buendia,Ely Buendia,Robin Rivera,
1996,Kailangan Kita,Bituin Escalante,Kailangan Kita,Pop Ballad,4:38,Bituin Escalante,Bituin Escalante,Jonathan Manalo,Awit Best Female Regional
1996,214,Rivermaya,Single,Pop Rock,4:52,Rico Blanco,Rico Blanco,Rico Blanco,
1996,Nag-iisang Muli,Joey Albert,Single,Ballad,4:42,Joey Albert,Joey Albert,Joey Albert,
1996,Para Sayo,Randy David,Single,Pop,4:30,Randy David,Randy David,Randy David,
1996,Huwag Ka Nang Umiiyak,Rachel Alejandro,Single,Ballad,4:45,Vehnee Saturno,Vehnee Saturno,Jimmy Antiporda,Star Best Ballad
1996,Mahal Kita,Martin Nievera,Single,Pop,4:22,George Canseco,George Canseco,Martin Nievera,
1996,Di Ko Na Deserve,Janno Gibbs,Single,Pop,4:25,Janno Gibbs,Janno Gibbs,Janno Gibbs,
1996,Minsan Lang Kita Mamahalin,Dingdong Avanzado,Single,Ballad,4:58,Dingdong Avanzado,Dingdong Avanzado,Dingdong Avanzado,
1996,Walang Kapalit,Zsa Zsa Padilla,Single,Ballad,4:55,George Canseco,George Canseco,Willy Cruz,
1996,Pangako,Sharon Cuneta,Single,Ballad,4:32,George Canseco,George Canseco,Sharon Cuneta,
1996,Di Makalimutan,Joey Albert,Single,Ballad,4:35,George Canseco,George Canseco,Joey Albert,
1996,Pag-ibig,Rico J. Puno,Single,Pop,4:05,Rico J. Puno,Rico J. Puno,Rico J. Puno,
1996,Sa Piling Mo,Pops Fernandez,Single,Pop Ballad,4:42,Pops Fernandez,Pops Fernandez,Pops Fernandez,
1996,Di Na Muli,Rachel Alejandro,Single,Ballad,4:48,Vehnee Saturno,Vehnee Saturno,Rachel Alejandro,
1996,Pangarap Ko ang Ibigin Ka,Regine Velasquez,The Moviecast Is Hot,Pop Ballad,4:55,George Canseco,George Canseco,Regine Velasquez,Awit Best Soundtrack
1996,Love Was Born on Christmas Day,Gary Valenciano,Single,Pop Christmas,4:20,Gary Valenciano,Gary Valenciano,Gary Valenciano,
1996,Sahaya,South Border,South Border,R&B,4:40,Jay Durias,Jay Durias,Jay Durias,
1996,Kung Wala Ka,Nina,Single (early release),Pop Ballad,4:35,Jay Durias,Jay Durias,Neil Gregorio,
1996,Overdrive,Rivermaya,Single,Pop Rock,4:18,Rico Blanco,Rico Blanco,Rico Blanco,
1996,Ligaya,Eraserheads,Bananasong** (compilation),Rock,4:05,Ely Buendia,Ely Buendia,Robin Rivera,
1996,Monopoly,Eraserheads,Sticker Happy reissue,Rock,3:42,Ely Buendia,Ely Buendia,Robin Rivera,
1996,Torpedo (Remix),Eraserheads,Single,Rock,4:10,Ely Buendia,Ely Buendia,Robin Rivera,
1996,Pasko Na Sinta Ko,Gary Valenciano,Single,Pop,4:45,Gary V,Gary V,Gary Valenciano,
1996,Kisapmata,Rivermaya,Trip,Alt Rock,4:41,Rico Blanco,Rico Blanco,Rico Blanco,
1996,Himala ,Rivermaya,Trip,Alt Rock,4:06,Rico Blanco,Rico Blanco,Rico Blanco,
1996,Panahon Na Naman,Rivermaya,Trip,Alt Rock,6:02,Rico Blanco,Rico Blanco,Rico Blanco,
1996,Flowers,Rivermaya,Trip,Alt Rock,5:39,Rico Blanco,Rico Blanco,Rico Blanco,
1996,Princess of Disguise,Rivermaya,Trip,Alt Rock,3:05,Rico Blanco,Rico Blanco,Rico Blanco,
1996,Maniwala Ka Sana,Parokya ni Edgar,Khangkungkernitz,Alt Rock,3:16,Chito Miranda,Chito Miranda,Chito Miranda,
1996,Lutong Bahay,Parokya ni Edgar,Khangkungkernitz,Alt Rock,3:45,Chito Miranda,Chito Miranda,Chito Miranda,
1996,Pangarap Lang Kita,Parokya ni Edgar,Bente,Alt Rock / Holiday,3:11,Chito Miranda,Chito Miranda,Chito Miranda,NU Rock Awards (Popular Song)
1996,Fruitcake,Eraserheads,Fruitcake,Pop Rock / Holiday,5:01,Ely Buendia,Ely Buendia,Robin Rivera,
1996,Old Fashion Christmas Carol,Eraserheads,Fruitcake,Alt Rock / Holiday,4:39,Ely Buendia,Eraserheads,Robin Rivera,
1996,Christmas Party,Eraserheads,Fruitcake,Alt Rock / Holiday,3:04,Ely Buendia,Ely Buendia,Robin Rivera,
1996,Ang Tipo Kong Lalaki,DJ Alvaro,Bagong Babae,Novelty,4:04,DJ Alvaro,DJ Alvaro,DJ Alvaro,
1996,Lando,Francis Magalona. ft. Gloc-9,Diploma,Hip Hop,3:10,Francis Magalona,Francis Magalona,Francis Magalona,
1996,Kaleidoscope World,Francis Magalona,FreeMan,Rap / Rock,5:20,Francis Magalona,Francis Magalona,Jimmy Antiporda,Awit Awards (Hall of Fame recognition later)
1996,Where Do Brokne Hearts Go,Jaya,Jaya,Pop / R&B,4:30,Frank Wildhorn,Frank Wildhorn,Vehnee Saturno,
1996,Laging Naro'n Ka,Jaya,Jaya,Ballad,4:26,Vehnee Saturno,Vehnee Saturno,Vehnee Saturno,
1996,Sometimes You Just Know,Jaya,Janno Gibbs,Pop,4:00,,,Vehnee Saturno,
1996,Kahit Isang Saglit,Vernie Vergara,Single,Ballad,4:20,Louie Ocampo,Louie Ocampo,Vehnee Saturno,
1996,Do You Believe in Me,Janno Gibbs,Single,Pop,4:10,Janno Gibbs,Janno Gibbs,Janno Gibbs,
1997,Hinahanap-Hanap Kita,Rivermaya,Atomic Bomb   ,Alt Rock,4:30,Rico Blanco,Rico Blanco,Rico Blanco,
1997,If,Rivermaya,Atomic Bomb   ,Alt Rock,4:20,Rico Blanco,Rico Blanco,Rico Blanco,
1997,Kung Ayaw Mo Wag Mo,Rivermaya,Atomic Bomb   ,Alt Rock,4:10,Rico Blanco,Rico Blanco,Rico Blanco,
1997,Sunny Days,Rivermaya,Atomic Bomb   ,Alt Rock,3:50,Rico Blanco,Rico Blanco,Rico Blanco,
1997,Mabuhay,Rivermaya,Atomic Bomb   ,Rock,4:40,Rico Blanco,Rico Blanco,Rico Blanco,
1997,Wild Angel Baby,Rivermaya,Atomic Bomb   ,Rock,4:00,Rico Blanco,Rico Blanco,Rico Blanco,
1997,Luha,Rivermaya,Atomic Bomb   ,Ballad Rock,5:00,Rico Blanco,Rico Blanco,Rico Blanco,
1997,Ballroom Dancing,Rivermaya,Atomic Bomb   ,Alt Rock,3:40,Rico Blanco,Rico Blanco,Rico Blanco,
1997,Saturday (Bakit Ako?),Rivermaya,Atomic Bomb   ,Rock,4:30,Rico Blanco,Rico Blanco,Rico Blanco,
1997,Spoliarium,Eraserheads,Sticker Happy  ,Alt Rock,4:30,Ely Buendia,Ely Buendia,Robin Rivera,
1997,Kaliwete,Eraserheads,Sticker Happy  ,Alt Rock,3:50,Ely Buendia,Ely Buendia,Robin Rivera,
1997,Hard To Believe,Eraserheads,Sticker Happy  ,Pop Rock,3:40,Ely Buendia,Ely Buendia,Robin Rivera,
1997,Para Sa Masa,Eraserheads,Sticker Happy  ,Rock,4:20,Ely Buendia,Ely Buendia,Robin Rivera,
1997,Bogchi Hokbu,Eraserheads,Sticker Happy  ,Alt Rock,3:30,Ely Buendia,Ely Buendia,Robin Rivera,
1997,Balikbayan Box,Eraserheads,Sticker Happy  ,Rock,3:50,Ely Buendia,Ely Buendia,Robin Rivera,
1997,Andalusian Dog,Eraserheads,Sticker Happy  ,Alt,4:00,Ely Buendia,Ely Buendia,Robin Rivera,
1997,Ha Ha Ha,Eraserheads,Sticker Happy  ,Rock,3:20,Ely Buendia,Ely Buendia,Robin Rivera,
1997,Downtown,Eraserheads,Sticker Happy  ,Alt,3:40,Ely Buendia,Ely Buendia,Robin Rivera,
1997,Harana,Parokya ni Edgar,Buruguduystunstugudunstuy,Alt Rock,3:50,Chito Miranda,Chito Miranda,Chito Miranda,
1997,Sayang,Parokya ni Edgar,Buruguduystunstugudunstuy,Rock,4:00,Chito Miranda,Chito Miranda,Chito Miranda,
1997,Please Don't Touch My Birdie,Parokya ni Edgar,Buruguduystunstugudunstuy,Comedy Rock,3:30,Chito Miranda,Chito Miranda,Chito Miranda,
1997,Silvertoes,Parokya ni Edgar,Buruguduystunstugudunstuy,Rock,3:40,Chito Miranda,Chito Miranda,Chito Miranda,
1997,Magic Spaceship,Parokya ni Edgar,Buruguduystunstugudunstuy,Alt,4:00,Chito Miranda,Chito Miranda,Chito Miranda,
1997,Wala Na Bang Pag-Ibig,Jaya,In the Raw,Alt,4:30,Chito Miranda,Chito Miranda,Vehnee Saturno,
1997,Sana'y Maulit Muli (Remake),Jaya,In the Raw,,4:20,Vehnee Saturno,Vehnee Saturno,Vehnee Saturno,
1997,Magpakailan Pa Man,Jaya,In the Raw,,4:30,Gary Valenciano,Gary Valenciano,Vehnee Saturno,
1997,Kahit Na,Jaya,In the Raw,,4:40,Louie Ocampo,Louie Ocampo,Vehnee Saturno,
1997,Bakit Pa,Jessa Zaragoza,Just Can't Help Feelin',,4:30,Vehnee Saturno,Vehnee Saturno,Vehnee Saturno,Awit Awards
1997,I Do,Jessa Zaragoza,Just Can't Help Feelin',,4:00,Various,Various,Vehnee Saturno,
1997,I Can ,"Donna Cruz, Regine Velasquez, Mikee Cojuangco",Do Re Mi OST,Pop,3:40,Vehnee Saturno,Vehnee Saturno,Vehnee Saturno,
1997,Kahit Muli,Ariel Rivera,Getting to Know,Ballad,4:20,Louie Ocampo,Louie Ocampo,Vehnee Saturno,
1997,Tear to Fall,South Border,Bump,R&B,4:30,Jay Durias,Jay Durias,Jay Durias,
1997,Losin' My Mind,South Border,South Border,R&B,4:10,Jay Durias,Jay Durias,Jay Durias,
1997,Tulak ng Bibig,Lilet,Single,Pop,3:30,,,Vehnee Saturno,
1997,Paano Pa Kita Malilimutan,Mariz Ricketts,Single,Ballad,4:10,,,Vehnee Saturno,
1997,Halik Ni Hudas,Wolfgang,Semenelin,Hard Rock,5:00,Wolfgang,Wolfgang,Wolfgang,NU Rock Awards
1997,Sana Ay Ikaw Na Nga,Basil Valdez,Single,Ballad,4:30,Ryan Cayabyab,Ryan Cayabyab,Ryan Cayabyab,
1997,Kailangan Kita,Bituin Escalante,Metropop '97,Ballad,4:20,Ogie Alcasid,Ogie Alcasid,Jonathan Manalo,Metropop Winner
1997,Sampip ,Parokya ni Edgar,Buruguduystunstugudunstuy,Alt,4:30,Chito Miranda,Chito Miranda,Chito Miranda,NU Rock Awards
1997,Alimango,Parokya ni Edgar,Buruguduystunstugudunstuy,Comedy Rock,3:20,Chito Miranda,Chito Miranda,Chito Miranda,
1997,Okatokat,Parokya ni Edgar,Buruguduystunstugudunstuy,Comedy Rock,3:10,Chito Miranda,Chito Miranda,Chito Miranda,
1997,High,Parokya ni Edgar,Buruguduystunstugudunstuy,Rock,4:10,Chito Miranda,Chito Miranda,Chito Miranda,
1997,Batangas Coffee,Parokya ni Edgar,Buruguduystunstugudunstuy,Acoustic Rock,3:50,Chito Miranda,Chito Miranda,Chito Miranda,
1997,You Lift Me Up,Jaya,In the Raw,Pop,4:00,Intl Writers,Intl Writers,Vehnee Saturno,
1997,Mayro'n Pa Ring Pag-Ibig,Jaya,In the Raw,Ballad,4:30,Vehnee Saturno,Vehnee Saturno,Vehnee Saturno,
1997,I Still Believe In Love,Jaya,In the Raw,Pop,4:10,Intl Writers,Intl Writers,Vehnee Saturno,
1997,Dahil Mahal Na Mahal Kita,Roselle Nava,Rosells: On Higher Ground,Ballad,4:30,Vehnee Saturno,Vehnee Saturno,Vehnee Saturno,
1997,Bakit 'Di Totohanin,Carol Banawa,Carol,Ballad,4:10,,,Vehnee Saturno,
1997,Alaala,True Faith,Build,Alt,4:20,Medwin Marfil,Medwin Marfil,True Faith,
1997,Nanghihinayang,Jeremiah,Nanghihinayang,Ballad,4:40,Band,Band,Vehnee Saturno,
1998,So Slow,Freestyle,Freestyle,R&B,4:20,Top Suzara,Top Suzara,Tat Suzara,
1998,Halik,Aegis,Halik,Rock Ballad,4:50,Aegis,Aegis,Celso Gabat Jr.,
1998,Luha,Aegis,Halik,Rock Ballad,5:00,Aegis,Aegis,Celso Gabat Jr.,
1998,Sinta,Aegis,Halik,Rock Ballad,4:40,Aegis,Aegis,Celso Gabat Jr.,
1998,Basang-Basa Sa Ulan,Aegis,Halik,Rock Ballad,5:10,Aegis,Aegis,Celso Gabat Jr.,
1998,Kunin Mo Na Ang Lahat Sa Akin,Jeremiah,Jeremiah,Ballad,4:30,Band,Band,Vehnee Saturno,
1998,Laging Tapat,Jolina Magdangal,Jolina,Pop,4:10,Vehnee Saturno,Vehnee Saturno,Vehnee Saturno,
1998,T.L Ako Sayo,Jolina Magdangal,Jolina,Pop,3:50,Vehnee Saturno,Vehnee Saturno,Vehnee Saturno,
1998,Tunay Na Mahal,Lani Misalucha,Tunay Na Mahal,Ballad,4:30,Louie Ocampo,Louie Ocampo,Vehnee Saturno,
1998,Sa'yo,South Border,Bump,R&B,4:20,Jay Durias,Jay Durias,Jay Durias,
1998,Elesi (Acoustic),Rivermaya,Atomic Bomb (Peaking),Alt Rock,4:30,Ely Buendia,Ely Buendia,Rico Blanco,
1998,How Could You Leave,Regine Velasquez,Drawn,Pop Ballad,4:20,Various,Various,Regine Velasquez,
1998,Huwag Ka Nang Umiiyak,Rachel Alejandro,Single,Ballad,4:10,Louie Ocampo,Louie Ocampo,Jimmy Antiporda,
1998,Mahal Kita,Martin Nievera,Single,Ballad,4:30,Louie Ocampo,Louie Ocampo,Martin Nievera,
1998,Di Ko Na Deserve,Janno Gibbs,Single,Pop,4:00,Janno Gibbs,Janno Gibbs,Janno Gibbs,
1998,Minsan Lang Kita Mamahalin,Dingdong Avanzado,Single,Ballad,4:30,Dingdong Avanzado,Dingdong Avanzado,Dingdong Avanzado,
1998,Walang Kapalit,Zsa Zsa Padilla,Single,Ballad,4:20,Louie Ocampo,Louie Ocampo,Willy Cruz,
1998,Pangarap Ko ang Ibigin Ka,Regine Velasquez,Single,Ballad,4:30,Ogie Alcasid,Ogie Alcasid,Regine Velasquez,
1998,Before I Let You Go,Freestyle,Freestyle,R&B,4:40,Top Suzara,Top Suzara,Tat Suzara,
1998,Hinahanap-Hanap Kita,Rivermaya,Atomic Bomb,Alt Rock,4:30,Rico Blanco,Rico Blanco,Rico Blanco,
1998,I'll Never Say Goodbye,Regine Velasquez,Drawn,Pop Ballad,4:20,Various,Various,Regine Velasquez,
1998,Julie Tearjerky,Eraserheads,Aloha Milkway,Alt Rock,3:50,Ely Buendia,Ely Buendia,Robin Rivera,
1998,Tamagotchi Baby,Eraserheads,Aloha Milkway,Alt Rock,3:30,Ely Buendia,Ely Buendia,Robin Rivera,
